nome,descricao,modulo,duracao,materiais
UI - User interface,Design de interfaces voltado para experiência do usuário,4 módulos,20h,ebook
UX - User Experience,Entender a jornada do usuário e melhorar a experiência,5 módulos,25h,ebook
Design gráfico,Criar através do design soluções visuais criativas,6 módulos,15h,ebook
Edição de vídeo,Roteirizar e editar vídeos no adobre premiere,7 módulos,18h,ebook
3D Motion Design,Criar animações e composições em 3d,8 módulos,20h,ebook
Design de jogos,Desenvolver a parte gráfica dos jogos,9 módulos,25h,ebook
Design de Ilustração,"Desenvolver estampas, pattern e vetores",10 módulos,30h,ebook
Pintura Digital,"Pintura de quadro, personagens ou estampas no photoshop",11 módulos,40h,ebook
Fotografia,Composição e tecnicas para fotografia,12 módulos,15h,ebook
Produção ,Produção audio visual,13 módulos,15h,ebook
Pós produção,Pós produção de conteúdos áudio-visuais,14 módulos,25h,Livro físico
Animação 2D,Animação 2D no After effects,15 módulos,30h,ebook
Animação 3D,Animação 3D no after effects,16 módulos,40h,ebook
Social media,Design voltado para redes sociais,17 módulos,10h,ebook
Ads Layout,Design e Storytelling para anúncios na internet,18 módulos,10h,ebook
Ux Mobile ,Experiência do usuário no universo dos smarthphones,19 módulos,18h,ebook
Figma,Software de desenvolvimento de interfaces e protótipos,20 módulos,25h,ebook
Adobe XD,Software de desenvolvimento de interfaces e protótipos,21 módulos,20h,ebook
Identidade visual,Criação de identidades visuais completas,22 módulos,80h,Livro físico
Design de embalagens,Processo límbico e criação de embalagens atraentes,23 módulos,10h,ebook
Biomimética,o uso da natureza como inspiração no design,24 módulos,10h,ebook
